ID	RNUM	SETTING	DESCRIPTION
YAM_2756_2_2	001	++++++++++++++++++++++++++++++++++++++++	NA
YAM_2756_2_2	002	NA	NA
YAM_2756_2_2	003	CONFIGURATION FILE FOR ROXAS-BASED ANALYSIS	NA
YAM_2756_2_2	004	NA	NA
YAM_2756_2_2	005	++++++++++++++++++++++++++++++++++++++++	NA
YAM_2756_2_2	006	NA	NA
YAM_2756_2_2	007	GENERAL	NA
YAM_2756_2_2	008	Larix_sibirica_Yamal_2.2675	Configuration
YAM_2756_2_2	009	03.11.2022 05:42:00	Date created
YAM_2756_2_2	010	3.0.654	ROXAS version
YAM_2756_2_2	011	fonti	Author
YAM_2756_2_2	012	2.267499924	Spatial Resolution [pixels/µm]
YAM_2756_2_2	013	2500 / -150000	Origin (X / Y)
YAM_2756_2_2	014	NA	NA
YAM_2756_2_2	015	--------------------------------------------------------------------------------------	NA
YAM_2756_2_2	016	MAIN WINDOW	NA
YAM_2756_2_2	017	1	Linear sample (Y) / circular sample (N)
YAM_2756_2_2	018	179	Lower Limit [°]
YAM_2756_2_2	019	181	Upper Limit [°]
YAM_2756_2_2	020	1946	Outmost Year
YAM_2756_2_2	021	1	Skip automatic ring detection
YAM_2756_2_2	022	1	Manually select AOI's
YAM_2756_2_2	023	0	Consider outline trace in analysis
YAM_2756_2_2	024	NA	Not used anymore in ROXAS v4; previously Extended visual output
YAM_2756_2_2	025	NA	Not used anymore in ROXAS v4; Parenchyma analysis
YAM_2756_2_2	026	1	Cell lumen area & CWT (as opposed to lumen area only)
YAM_2756_2_2	027	0	Manually select AOE's
YAM_2756_2_2	028	NA	NA
YAM_2756_2_2	029	--------------------------------------------------------------------------------------	NA
YAM_2756_2_2	030	SIZE & SHAPE CELL FILTERING	NA
YAM_2756_2_2	031	5	Area low threshold
YAM_2756_2_2	032	100	Area mid  threshold
YAM_2756_2_2	033	3500	Area up threshold
YAM_2756_2_2	034	1	Roundness weight 
YAM_2756_2_2	035	15.00	Roundness low threshold
YAM_2756_2_2	036	5.50	Roundness mid threshold
YAM_2756_2_2	037	3.50	Roundness up threshold
YAM_2756_2_2	038	1	Perimeter Ratio weight 
YAM_2756_2_2	039	0.95	Perimeter Ratio low threshold
YAM_2756_2_2	040	0.92	Perimeter Ratio mid threshold
