ID	YEAR	RA	MRW	MINRW	MAXRW	MRADDIST	CNO	CD	CTA	RCTA	MLA	MINLA	MAXLA	KH	KS	RVGI	RVSF	RGSGV	AOIAR	RAOIAR	CWTPI	CWTBA	CWTLE	CWTRI	CWTTAN	CWTRAD	CWTALL	RTSR	CTSR	DH	DH2	DRAD	DTAN	TB2	CWA	RWD
YAM_2756_1_2	1957	0.999	456	407	513	456	753	754.12	0.138	13.83	183	6	1464	2.43644E-09	0.002440	NA	NA	NA	NA	NA	4.64	4.52	5.56	5.52	4.51	5.48	4.99	3.03	2.17	30.40	19.01	11.36	16.86	0.5734	370	0.784
YAM_2756_1_2	1958	1.941	879	848	946	1339	1501	773.29	1.059	54.57	706	8	2551	3.91942E-08	0.020192	NA	NA	NA	NA	NA	3.25	3.25	3.65	3.61	3.24	3.63	3.44	0.75	0.71	39.72	31.89	32.74	24.59	0.0911	414	0.455
YAM_2756_1_2	1959	2.222	1008	962	1048	2347	1908	858.72	1.126	50.67	590	6	2327	3.77129E-08	0.016973	NA	NA	NA	NA	NA	3.77	3.79	4.29	4.23	3.81	4.24	4.03	1.29	1.10	37.19	29.80	28.54	22.58	0.2615	426	0.497
YAM_2756_1_2	1960	1.946	883	856	914	3229	1483	761.97	1.049	53.90	707	8	2584	4.20912E-08	0.021627	NA	NA	NA	NA	NA	3.70	3.68	4.24	4.23	3.66	4.20	3.93	1.06	0.93	40.95	32.59	30.93	24.98	0.1761	442	0.523
YAM_2756_1_2	1961	2.974	1349	1289	1417	4579	2476	832.58	1.451	48.78	586	5	2558	4.90529E-08	0.016495	NA	NA	NA	NA	NA	4.36	4.36	4.63	4.66	4.34	4.64	4.51	1.28	1.16	37.98	29.80	28.78	22.19	0.3167	483	0.542
YAM_2756_1_2	1962	3.924	1779	1664	1828	6352	3668	934.84	1.811	46.16	494	8	2380	6.11188E-08	0.015577	NA	NA	NA	NA	NA	4.60	4.58	5.03	5.06	4.57	4.97	4.77	1.44	1.37	38.30	28.55	24.64	20.45	0.4441	462	0.616
YAM_2756_1_2	1963	3.949	1791	1734	1863	8141	3202	810.77	2.173	55.03	679	5	2746	8.09275E-08	0.020491	NA	NA	NA	NA	NA	3.90	3.89	4.17	4.18	3.89	4.13	4.02	1.19	1.07	39.56	31.60	32.07	22.60	0.2781	438	0.520
YAM_2756_1_2	1964	4.817	2181	2156	2257	10330	3929	815.58	2.588	53.73	659	5	2856	9.11837E-08	0.018928	NA	NA	NA	NA	NA	4.03	4.03	4.23	4.22	4.02	4.19	4.11	0.86	0.91	38.78	30.92	32.22	22.46	0.2019	453	0.523
YAM_2756_1_2	1965	3.932	1777	1743	1814	12111	3027	769.85	2.214	56.31	731	6	3100	8.53291E-08	0.021702	NA	NA	NA	NA	NA	3.67	3.66	4.02	4.02	3.68	4.02	3.86	0.94	0.92	40.02	32.46	33.85	23.61	0.2202	439	0.472
YAM_2756_1_2	1966	1.633	737	712	776	12855	1291	790.77	0.861	52.73	667	5	2214	3.1956E-08	0.019574	NA	NA	NA	NA	NA	3.35	3.36	3.95	3.95	3.35	3.93	3.65	1.16	0.92	38.41	31.57	29.25	25.44	0.1744	434	0.471
YAM_2756_1_2	1967	1.859	840	808	878	13694	1448	778.94	0.955	51.37	659	6	2561	3.89185E-08	0.020936	NA	NA	NA	NA	NA	3.97	4.00	4.48	4.48	3.99	4.49	4.27	1.50	1.27	40.52	32.17	29.39	23.25	0.3867	453	0.505
